
========================================================================
RUN STARTED  2026-06-17 00:44:25
site_pipeline.py https://diraq.com/
========================================================================

[00:44:25 +0s | diraq] === 0 crawl site ===
[00:44:28 +2s | diraq] [INIT].... → Crawl4AI 0.8.6 
[00:44:50 +22s | diraq] Saved: crawl_output/44c72367f3_www.diraq.com_research-papers_navigating-the-16-dimensional-hilbert-space-of-a-high-spin-donor-qudit-with-electric-and-magnetic-fields.json
[00:44:50 +22s | diraq] Saved: crawl_output/d22b24224e_www.diraq.com_research-papers_on-demand-electrical-control-of-spin-qubits-7j9hw-3mgma.json
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/newsdesk
[00:44:50 +22s | diraq] Saved: crawl_output/1cb9c73fd7_www.diraq.com_research-papers_precision-high-speed-quantum-logic-with-holes-on-a-natural-silicon-foundry-platform.json
[00:44:50 +22s | diraq] Saved: crawl_output/1d19bdea0f_www.diraq.com_research-papers_scalable-quantum-current-source-on-commercial-22-nm-cmos-process-technology.json
[00:44:50 +22s | diraq] Saved: crawl_output/bd13e8d92b_www.diraq.com_research-papers_schrdinger-cat-states-of-a-nuclear-spin-qudit-in-silicon.json
[00:44:50 +22s | diraq] Saved: crawl_output/3d42b2d33c_www.diraq.com_research-papers_tag_INDUSTRY+FIRST.json
[00:44:50 +22s | diraq] Saved: crawl_output/359f0fd0e6_www.diraq.com_research-papers_tomography-of-entangling-two-qubit-logic-operations-in-exchange-coupled-donor-electron-spin-qubits.json
[00:44:50 +22s | diraq] Saved: crawl_output/1ee73952b7_www.diraq.com_research-papers_tag_QUBIT+CONTROL.json
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/research-papers
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/research-papers
